FRANK-WOLFE ALGORITHM
iter; objective; relative_gap; alpha
164; 93966121.3973511606; 0.0010117752; 0.0047552985
165; 93965809.7593285292; 0.0009082534; 0.0029981012
166; 93965633.3816572130; 0.0006416924; 0.0041923887
167; 93965459.1320958734; 0.0008885521; 0.0071826028
168; 93965045.7615176588; 0.0008886793; 0.0075416515
169; 93964611.6470918804; 0.0008579331; 0.0035727138
170; 93964413.1174794436; 0.0006706868; 0.0045770671
171; 93964214.2860231400; 0.0008817704; 0.0076308977
172; 93963778.4583502859; 0.0008486226; 0.0033240765
173; 93963595.7590321004; 0.0008060254; 0.0072668463
174; 93963216.4031006694; 0.0010473679; 0.0046156091
175; 93962903.3014230728; 0.0007079268; 0.0063014967
176; 93962614.3678416908; 0.0009421842; 0.0057473601
177; 93962263.6513205916; 0.0007723340; 0.0032499991
178; 93962101.0810161233; 0.0006206972; 0.0036499250
179; 93961954.3490112722; 0.0007868742; 0.0060491927
180; 93961646.0561795235; 0.0007522672; 0.0033076487
181; 93961484.9042608738; 0.0008194412; 0.0074753762
182; 93961088.1663679779; 0.0009418187; 0.0041537571
183; 93960834.7887251675; 0.0006717680; 0.0059103069
184; 93960577.6323588639; 0.0008876933; 0.0048182350
185; 93960300.6168556660; 0.0006611269; 0.0022278229
186; 93960205.2250669897; 0.0005763942; 0.0074347827
187; 93959927.6868327111; 0.0010803577; 0.0045504060
188; 93959609.3082501441; 0.0006762898; 0.0060509981
189; 93959344.2739651799; 0.0008507458; 0.0037259998
190; 93959138.9800709188; 0.0007126073; 0.0063934605
191; 93958843.9074652791; 0.0008988284; 0.0049910394
192; 93958553.3620785773; 0.0006242962; 0.0037334907
193; 93958402.4128569514; 0.0007062629; 0.0075480452
194; 93958057.1519372910; 0.0007369810; 0.0039851332
195; 93957866.9513301551; 0.0007913768; 0.0052866765
196; 93957595.9963953942; 0.0007636280; 0.0059692935
197; 93957300.7880898267; 0.0008123664; 0.0035477074
198; 93957114.1352942437; 0.0006824976; 0.0022940397
199; 93957012.7336432785; 0.0004861396; 0.0033380357

FW final link flows vv:
(2,1): 13129.8772600265
(1,4): 13129.8772600265
(3,2): 13129.8772600265
(4,9): 13129.8772600265
(9,4): 4431.3222957110
(5,10): 4732.1406683127
(6,5): 12732.1406683127
(3,7): 36214.0065773141
(6,14): 20489.2744016098
(14,6): 65.2989072631
(7,14): 17177.2300213546
(14,7): 103.3756698108
(7,19): 19140.1522257703
(8,9): 8569.4826996238
(9,8): 8000.0000000000
(11,8): 17069.4826996238
(9,12): 5982.2286953819
(12,9): 61.1151149024
(9,10): 4199.2755188151
(10,9): 852.3514353554
(10,13): 4010.3870474835
(11,22): 33819.2474147398
(11,12): 30611.2698856364
(12,15): 3346.3309715532
(12,13): 18703.8237991808
(13,12): 2017.7713046181
(13,14): 8103.3756698108
(13,17): 9208.3273641720
(14,18): 17100.9822400516
(15,16): 3231.2907552662
(22,16): 8494.9211323278
(16,17): 3726.2118875940
(16,18): 8000.0000000000
(18,17): 2137.7587960112
(20,17): 1427.7019522228
(18,21): 6463.2234440405
(22,20): 9427.7019522228
(20,21): 8000.0000000000
(24,21): 2036.7765559595
(24,19): 7896.6243301892
(19,24): 10536.7765559595
(22,23): 15896.6243301892
(23,24): 7896.6243301892
(24,23): 8500.0000000000
(4,5): 4431.3222957110
(10,5): 4068.6777042890
(3,6): 33156.1161626593
(14,13): 12500.2232756497
(15,13): 115.0402162869

