RSD ALGORITHM rho=4
iter; objective; relative_gap; active_vertices; alphas
43; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[44]=0.06278157 
44; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[45]=0.07530659 
45; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[46]=0.06278157 
46; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[47]=0.07530659 
47; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[48]=0.06278157 
48; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[49]=0.07530659 
49; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[50]=0.06278157 
50; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[51]=0.07530659 
51; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[52]=0.06278157 
52; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[53]=0.07530659 
53; 35763254.9785133377; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[54]=0.06278157 
54; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[55]=0.07530659 
