RSD ALGORITHM rho=4
iter; objective; relative_gap; active_vertices; alphas
184; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[185]=0.07530659 
185; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[186]=0.06278157 
186; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[187]=0.07530659 
187; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[188]=0.06278157 
188; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[189]=0.07530659 
189; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[190]=0.06278157 
190; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[191]=0.07530659 
191; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[192]=0.06278157 
192; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[193]=0.07530659 
193; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[194]=0.06278157 
194; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[195]=0.07530659 
195; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[196]=0.06278157 
196; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[197]=0.07530659 
197; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[198]=0.06278157 
198; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[199]=0.07530659 
199; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[200]=0.06278157 
200; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[201]=0.07530659 
201; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[202]=0.06278157 
202; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[203]=0.07530659 
203; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[204]=0.06278157 
204; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[205]=0.07530659 
205; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[206]=0.06278157 
206; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[207]=0.07530659 
207; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[208]=0.06278157 
208; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[209]=0.07530659 
209; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[210]=0.06278157 
210; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[211]=0.07530659 
211; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[212]=0.06278157 
212; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[213]=0.07530659 
213; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[214]=0.06278157 
214; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[215]=0.07530659 
215; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[216]=0.06278157 
216; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[217]=0.07530659 
217; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[218]=0.06278157 
218; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[219]=0.07530659 
219; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[220]=0.06278157 
220; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[221]=0.07530659 
221; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[222]=0.06278157 
222; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[223]=0.07530659 
223; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[224]=0.06278157 
224; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[225]=0.07530659 
225; 35763254.9785133377; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[226]=0.06278157 
226; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[227]=0.07530659 
227; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[228]=0.06278157 
228; 35759712.8994174153; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[229]=0.07530659 
229; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[230]=0.06278157 
230; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[231]=0.07530659 
231; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[232]=0.06278157 
232; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[233]=0.07530659 
233; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[234]=0.06278157 
234; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[235]=0.07530659 
235; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[236]=0.06278157 
236; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[237]=0.07530659 
237; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[238]=0.06278157 
238; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[239]=0.07530659 
239; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[240]=0.06278157 
240; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[241]=0.07530659 
241; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[242]=0.06278157 
242; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[243]=0.07530659 
